Company Name,Position,Location,Date Posted,Job URL,Time Span
Integrity Rehab Group,Physical Therapy Technician-Integrity Rehab/Northwest Orthopaedics,"Spokane, WA",,https://www.indeed.com/rc/clk?jk=4945d4293ba07d0f&bb=hu4NH4unLXsPI8aUVcmKfQkglcsrowSmcqUNVgHMfyE7xLTowE7rzrP6TajKHXfTXrw5aDtBDQ-F-ovtlS2UdylvKodmeXDAPIw698vSexKqkbp8VYSz-N7oJFYPZ2Vs&xkcb=SoAL67M34k_KFCwEFR0IbzkdCdPP&fccid=f9b383706a0a4725&vjs=3,7Days
Sunflower Bank,Mortgage Loan Originator,"Spokane, WA 99201 
(Riverside area)",,https://www.indeed.com/rc/clk?jk=08b3dedd609f1879&bb=hu4NH4unLXsPI8aUVcmKfQYotsrhWlyixyEYRkWHZLUZGcUj9KZgDpgRosRJwGGPSUQkmZqac8ZzASMKDBwKQImyJCCsLsnU3hKlb9ePJYOCugwEl9yti61MLDmWaoxc&xkcb=SoBF67M34k_KFCwEFR0CbzkdCdPP&fccid=b4edd6eaa216e41b&vjs=3,7Days
Touchmark,Server,"Spokane, WA 99223 
(Lincoln Heights area)",,https://www.indeed.com/rc/clk?jk=4b6d33f1b5679562&bb=YH-pyyD_L7jf9nJU3H-fvVelqWlBxONN6pCaORBZULvJ8oLISSR6GE6LbYnEsgdRh-Tfl1WbRdDfZZPCppS8jtgMzhOfS0nGUN5y9rpoxraNfysGMXTUD3BvTOfrBLSk&xkcb=SoDa67M34k_aeASMaB0AbzkdCdPP&fccid=6026252d1d1eae8d&vjs=3,7Days
SALON SERVICES PRO INC,Store Assistant,"Spokane, WA 99202 
(East Central area)",,https://www.indeed.com/rc/clk?jk=fbc5ae74725a6b35&bb=kQYJl9_Dc02i9Dc8GYpoG6dvBnoiJDy30lRSOC_9z-zfMvVrgckn8LUYnQCzw3mNzaOtZYzHPv_vl0bK4B3QKD4XUGJvOwWjfVQBIsf7N5jgmK12f2umQq0bOAqBRg57&xkcb=SoC767M34k_qsryNgB0bbzkdCdPP&fccid=aa5fd3ba19820bbd&vjs=3,7Days
Sonic,Multi-Unit Leader,"Spokane, WA 99202 
(Logan area)",,https://www.indeed.com/rc/clk?jk=78d4aa3617d62da7&bb=OuU93IMNoXcVVbnGnCBpz8v8InpESAnLuElVenREfBb_7iiHY1zArNKBJCvfbYwMTPJoVsp2VpLZbo8ESFbGsrCFKw44nDboYxOTXnxnDWILOtQxfp67IvsfEJMp3rnn&xkcb=SoAD67M34kw9MswEFR0NbzkdCdPP&fccid=35a91adc30d9ede0&vjs=3,7Days
Spokane Health & Rehabilitation,Dietary Aide,"Spokane, WA 99205 
(Northwest area)",,https://www.indeed.com/rc/clk?jk=1d3cce221fda7bdb&bb=YQEVzbQvA-FoDtcUf8RHQmxBrz0hlSeEKSBQnNTmDz3skr2AzVbkwkoOZ-z-aaZerGVM08ge9ubo95nqU7-QPWOQIxxgWQc69mbUuOdvN9ckmCl2WCS7HCFEL9mhOgT4&xkcb=SoAW67M34kxdjRRUKZ0BbzkdCdPP&fccid=7b21e8f4058719a4&vjs=3,7Days
Subway - 23979-0,Sandwich Artist ®,"Spokane, WA 99216",,https://www.indeed.com/rc/clk?jk=43e535b007853aad&bb=-AgmzV0i4wfa0gNuPFpzSJtYgIMa8vO2VbOA2dMC6KUbh531uKk7hkfWwrBunNBgJj4PbxyIo44gFwou1_81FOUBV_3QP7k9pZ0j7xpP75I9HGsgalAp2fuapasEXrss&xkcb=SoBZ67M34kxwYOQEFR0KbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3,7Days
MultiCare Health System,Physician Assistant (PA) or Nurse Practitioner (ARNP) - Nephrology,"Spokane, WA 99201",,https://www.indeed.com/rc/clk?jk=fb611340485ecf3a&bb=HNHlRVi8G4pEMAbVAa35KUG0XyJey81-BTOi7LJT5yiCARf3E75VzP8LW6cHv8sZznmVtENsCOra76_P2EaBoRrgXgTrCiwZehJfOrcq3ia3tD6vr8dC2A%3D%3D&xkcb=SoA267M34kyBaLS4Rh0PbzkdCdPP&fccid=26ee6e42d73a12ff&vjs=3,7Days
"Ole Mexican Foods, INC",Territory Sales Representative (TSR),"Spokane, WA",,https://www.indeed.com/rc/clk?jk=4205f15bac9d3db5&bb=HNHlRVi8G4pEMAbVAa35KR9MemRxD7NxRhsFQcUeZFdij5ZtCFntWD3NxUzJicZomeOTdkmAQFNe4Dn8IEjnqBwBaO_vUU48zms62Hjskd-oaMbAX6D__f3962cloSzG&xkcb=SoCC67M34kyBaLS4Rh0ObzkdCdPP&fccid=3d6f1a5b652eb410&vjs=3,7Days
Pierce County Washington,Temporary GIS Planner 1,"Hybrid work in Tacoma, WA 98409",,https://www.indeed.com/rc/clk?jk=45cc9e5ad26271cf&bb=A9fGXDxEj0qdqScsFes2gkUGsVpVQVdzBe3_7R5JFDIS5yypk8H2sSN7i6EXWOerj9rnYsV8mBXWlhkFhOWFMcFJXJEly0qt_TsVPpHZ3HXy4gHhB1mkSrIbo9kJDuT1&xkcb=SoCM67M34ky7SIyMch0IbzkdCdPP&fccid=58246ea27b3f8cc2&vjs=3,7Days
